ID,Year,Month,Day,Date_,Hour,Minute,Second,Time_,Date,Spacecraft_,Spacecraft,Type_ipshock,Origem,Chave,Repete?,Accept
86000000,2009,6,30,6/30/2009,5,14,45,5:14:45 AM,2009-06-30 05:14:45,STEREO-A,STA,FR,SSC,200963051445STEREO-A,Repetido,1
1821,2009,7,18,7/18/2009,11,35,15,11:35:15 AM,2009-07-18 11:35:15,STEREO-B,STB,FF,IPShock,2009718113515STEREO-B,,0
87000000,2009,7,18,7/18/2009,11,35,15,11:35:15 AM,2009-07-18 11:35:15,STEREO-B,STB,FF,SSC,2009718113515STEREO-B,Repetido,1
1822,2009,7,19,7/19/2009,2,8,36,2:08:36 AM,2009-07-19 02:08:36,STEREO-B,STB,FR,IPShock,20097192836STEREO-B,,0
88000000,2009,7,19,7/19/2009,2,8,36,2:08:36 AM,2009-07-19 02:08:36,STEREO-B,STB,FR,SSC,20097192836STEREO-B,Repetido,1
89000000,2009,7,26,7/26/2009,14,42,5,2:42:05 PM,2009-07-26 14:42:05,STEREO-A,STA,FF,SSC,200972614425STEREO-A,,0
1826,2009,8,2,8/2/2009,16,33,46,4:33:46 PM,2009-08-02 16:33:46,STEREO-B,STB,FF,IPShock,200982163346STEREO-B,,0
1827,2009,8,5,8/5/2009,22,35,17,10:35:17 PM,2009-08-05 22:35:17,STEREO-B,STB,FF,IPShock,200985223517STEREO-B,,0
90000000,2009,8,5,8/5/2009,22,35,17,10:35:17 PM,2009-08-05 22:35:17,STEREO-B,STB,FF,SSC,200985223517STEREO-B,Repetido,1
1828,2009,8,7,8/7/2009,5,24,30,5:24:30 AM,2009-08-07 05:24:30,STEREO-B,STB,FR,IPShock,20098752430STEREO-B,,0
91000000,2009,8,7,8/7/2009,5,24,30,5:24:30 AM,2009-08-07 05:24:30,STEREO-B,STB,FR,SSC,20098752430STEREO-B,Repetido,1
1831,2009,8,30,8/30/2009,2,49,50,2:49:50 AM,2009-08-30 02:49:50,STEREO-B,STB,FF,IPShock,200983024950STEREO-B,,0
